"Requirement","How it is implemented","Exceeds / Pending"
"Project initialization (Node + Express)","package.json con scripts, src/app.js configurando Express y servidor corriendo en http://localhost:3000.","Cumplido exactamente."
"Basic server route test","Healthcheck GET /api/health devuelve JSON con ""API is running successfully."".","Cumplido; mejor que un simple texto."
"DB model: users table","Modelo User.js con id, email único y validado, password hasheada, timestamps automáticos.","Cumplido; includes email format validation."
"DB model: tasks table","Modelo Task.js con id, title, description, status ENUM (pending, in_progress, done), due_date, userId, timestamps. Relación 1:N con User.","Cumplido; includes Sequelize validations (length, isIn)."
"DB connection with env config","src/config/db.js usa Sequelize con variables .env, incluyendo host, puerto, usuario, contraseña y nombre de DB.","Cumplido; plus utility authenticate() log."
"Use of .env and separation of config",".env (local) y .env.example en repo, dotenv cargado en db.js, JWT_SECRET y DB config fuera del código.","Cumplido y excede buenas prácticas (ejemplo limpio para otros)."
"User registration endpoint","POST /api/auth/register valida campos, verifica email existente, hashea con bcrypt y responde sin exponer contraseña.","Cumplido; mensajes claros y consistentes."
"User login endpoint","POST /api/auth/login valida credenciales, compara hash con bcrypt, genera JWT con id y email.","Cumplido; expiración configurable vía JWT_EXPIRES_IN."
"JWT authentication middleware","authMiddleware.js extrae Authorization: Bearer <token>, verifica con jsonwebtoken, asigna req.user y maneja tokens inválidos/ausentes.","Cumplido; formato Bearer correctamente validado."
"Protected task routes","taskRoutes.js aplica router.use(authenticateToken) y define todas las rutas de /api/tasks solo para usuarios autenticados.","Cumplido; patrón estándar de rutas protegidas."
"Task creation (CRUD – Create)","POST /api/tasks crea tarea asociada a req.user.id, valida title y status, devuelve objeto creado.","Cumplido; validaciones adicionales en controller y modelo."
"Get all tasks (CRUD – Read)","GET /api/tasks devuelve solo las tareas del usuario autenticado, con count y arreglo data.","Cumplido; ordenado por createdAt DESC."
"Get single task","GET /api/tasks/:id busca tarea por id y userId, responde 404 si no existe o no pertenece al usuario.","Cumplido; buena seguridad de ownership."
"Update task","PUT /api/tasks/:id permite modificar title, description, status, due_date, mantiene valores anteriores si no se envían.","Cumplido; responde mensaje y tarea actualizada."
"Delete task","DELETE /api/tasks/:id elimina tarea solo si pertenece al usuario; responde confirmación.","Cumplido; lógica clara y segura."
"Filter tasks by status","GET /api/tasks?status=... filtra por status usando req.query, valida valores permitidos (pending, in_progress, done).","Cumplido; mensajes de error 400 si el status es inválido."
"Filter tasks by due_date","GET /api/tasks?due_date=YYYY-MM-DD usa DATE(due_date) = ... para devolver tareas de ese día.","Cumplido; solución robusta para día completo."
"Field validations","Validaciones en controllers (campos obligatorios) y en modelos Sequelize (notEmpty, len, isEmail, isIn).","Cumplido; excede lo mínimo requerido."
"Global error handling","errorHandler.js captura errores de Sequelize (validación y unique), responde JSON; en app.js se usa como middleware final.","Excede; manejo global centralizado no siempre es requerido en un curso básico."
"404 handling","Middleware final en app.js devuelve JSON { success:false, message:'Route not found.' } para rutas inexistentes.","Excede; mejor que la página HTML por defecto."
"CORS configuration","app.use(cors()) habilitado globalmente para permitir llamadas desde clientes externos.","Excede requisitos mínimos."
"Documentation of endpoints","README con descripción, modelos, estructura, cómo correr el proyecto y todos los endpoints con ejemplos de request/response.","Excede por mucho lo típico; muy profesional."
"Use of Postman for testing","Has colección con registro, login, CRUD, filtros y health, probados manualmente.","Cumplido; falta solo exportar archivo y adjuntarlo en entrega."
"Screenshots (por paso)","Aún no guardados todos, pero ya sabes qué capturas tomar (terminal + Postman para cada endpoint).","Pendiente (tarea tuya)."
"Video mostrando el proyecto","No grabado todavía; guion definido (arranque, auth, CRUD, filtros).","Pendiente (tarea tuya)."
"GitHub repository","Repo local creado; estás en proceso de publicar a GitHub con README, .env.example, código completo.","En curso; solo falta terminar Publish y verificar que aparezca en GitHub."
"ZIP file with project","Aún no comprimido, pero tienes clara la estructura (sin .env, preferible sin node_modules, incluye colección Postman).","Pendiente (tarea tuya)."
