"Requisito","Estado","Cómo se cumplió","Excedimos"
"Inicialización del proyecto Node.js + Express","Cumplido","Proyecto configurado con package.json, dependencias instaladas y servidor corriendo desde src/app.js.","No."
"Conexión a MySQL","Cumplido","Sequelize conectado a MySQL usando variables de entorno desde .env.","Sí, porque quedó desacoplado con configuración limpia vía db.js."
"Modelo User","Cumplido","Tabla de usuarios con id, email, password, timestamps y validaciones.","Sí, por validación de email y estructura más robusta."
"Modelo Task","Cumplido","Tabla tasks con id, title, description, status, due_date, userId y relación con User.","Sí, por validaciones adicionales en el modelo y ENUM controlado."
"Relación User → Tasks","Cumplido","User.hasMany(Task) y Task.belongsTo(User).","No, pero quedó implementado correctamente a nivel profesional."
"Variables de entorno","Cumplido","Uso de .env para puerto, DB y JWT.","Sí, por incluir también .env.example listo para repositorio."
"Registro de usuario","Cumplido","POST /api/auth/register funcionando con validaciones y guardado en MySQL.","Sí, porque la contraseña se almacena hasheada con bcrypt."
"Login de usuario","Cumplido","POST /api/auth/login funcionando con validación de credenciales y respuesta JSON correcta.","Sí, porque devuelve JWT estructurado y datos básicos del usuario."
"JWT Authentication","Cumplido","Middleware que protege rutas con Bearer Token.","No, pero quedó implementado correctamente."
"Create Task","Cumplido","POST /api/tasks crea tareas asociadas al usuario autenticado.","Sí, porque la asociación por userId se validó correctamente."
"Get All Tasks","Cumplido","GET /api/tasks devuelve solo tareas del usuario autenticado.","Sí, por incluir count y orden consistente."
"Get Task by ID","Cumplido","GET /api/tasks/:id funciona usando ownership por usuario.","Sí, porque evita acceso a tareas de otros usuarios."
"Update Task","Cumplido","PUT /api/tasks/:id actualiza campos correctamente.","No, pero quedó limpio y seguro."
"Delete Task","Cumplido","DELETE /api/tasks/:id elimina tareas correctamente.","No, pero quedó bien controlado."
"Filter by status","Cumplido","GET /api/tasks?status=in_progress funcionando.","Sí, porque valida estados permitidos."
"Filter by due date","Cumplido","GET /api/tasks?due_date=YYYY-MM-DD funcionando.","Sí, porque se resolvió correctamente el filtro por fecha completa."
"Manejo de errores","Cumplido","Middleware global de errores y respuestas JSON consistentes.","Sí, esto normalmente excede proyectos básicos."
"Ruta 404 JSON","Cumplido","Rutas inexistentes responden con { success:false, message:'Route not found.' }.","Sí, mejora la consistencia de la API."
"Health Check","Cumplido","GET /api/health responde correctamente.","Sí, usualmente es un extra profesional."
"Pruebas en Postman","Cumplido","Se recreó y ejecutó el flujo completo de auth, CRUD, filtros y health.","No, pero quedó completo."
"Colección de Postman","Cumplido","Exportada como postman/ecoaction-api.postman_collection.json y subida a GitHub.","Sí, porque quedó organizada dentro del repo."
"README.md","Cumplido","Archivo creado en inglés con instalación, endpoints, estructura y ejemplos.","Sí, excede bastante lo mínimo."
".env.example","Cumplido","Archivo creado para compartir configuración sin secretos.","Sí, práctica profesional."
"Repositorio GitHub","Cumplido","Proyecto publicado en GitHub con estructura correcta.","No, pero quedó correctamente documentado y listo para revisión."
"Evidencia visual / screenshots","Pendiente","Aún falta tomarlos manualmente.","No aplica."
"Video demostrativo","Pendiente","Aún falta grabarlo o confirmarlo con la profesora.","No aplica."
"ZIP final","Pendiente por confirmar","Depende de cómo la profesora quiera la entrega.","No aplica."
